,Unnamed: 0,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont,designation,source_id,bp_rp,bp_g,g_rp,l,b
0,0,4883949737694099968,60.838102,-31.494884000000006,0.006,1.854,63.497,15.416,0.0004,16.072,0.003,14.64,0.002,11655.9913,8.687999999999999,0.041,1.27,0.054000000000000006,2.3080000000000003,1.987,0.321,-0.787,8.699,0.047,1.6030000000000002,1.589,0.025,0.6409999999999999,0.033,0.013,7.0,0.102,Gaia DR2 4883949737694099968,4883949737694099968,1.4322413999999999,0.6563864,0.77585506,230.83809426033832,-48.26374662079114
1,1,6797061624556927488,305.261806,-31.194769,0.00234,2.037,47.785,14.649,0.0003,15.157,0.001,13.998,0.001,4134.9905,9.696,0.062,-24.442,0.044,6.495,6.299,0.196,-0.848,8.647,0.11,2.8280000000000003,2.8280000000000003,0.012,0.627,0.042,0.013,7.0,0.006999999999999999,Gaia DR2 6797061624556927488,6797061624556927488,1.1593646999999998,0.50796986,0.65139484,11.38238690568772,-31.75688348135796
2,2,1886622800620427392,346.932033,31.152729,0.00457,2.0780000000000003,78.697,14.555,0.0003,15.084,0.002,13.887,0.001,7916.3036,7.276,0.046,-13.278,0.037000000000000005,0.721,0.481,0.24,-0.675,8.641,0.101,0.168,0.168,0.01,0.639,0.027000000000000003,0.013,7.0,0.06,Gaia DR2 1886622800620427392,1886622800620427392,1.1974001,0.52925396,0.66814613,98.17388335582626,-26.68553239587945
3,3,3088764248187129728,116.091913,2.920523,0.01316,2.7880000000000003,55.49800000000001,15.917,0.0005,16.852999999999998,0.005,14.95,0.001,17000.8557,-11.354,0.085,-2.904,0.046,1.073,0.166,0.907,-0.715,7.949,0.058,0.052000000000000005,0.042,0.046,0.6509999999999999,0.04,0.02,7.0,0.165,Gaia DR2 3088764248187129728,3088764248187129728,1.9032574,0.9360466000000001,0.96721077,216.39863477047646,13.102163502736547
4,4,3956523636852700928,193.915823,22.837954,0.00533,1.887,25.741,16.706,0.0009,17.628,0.009000000000000001,15.761,0.003,10170.8146,-29.893,0.154,2.705,0.092,1.58,1.5319999999999998,0.048,-0.72,8.692,0.05,0.946,0.947,0.008,0.6409999999999999,0.079,0.012,7.0,0.087,Gaia DR2 3956523636852700928,3956523636852700928,1.8676319,0.9225025,0.9451294,315.7393763796861,85.60423566707931
5,5,2125307666699191168,272.849879,52.540914,0.0022,2.045,24.667,17.128,0.001,18.156,0.011,16.127,0.005,3879.7782,5.521,0.16399999999999998,11.653,0.191,2.136,2.051,0.085,-0.818,8.546,0.048,1.307,1.31,0.012,0.615,0.08,0.012,7.0,0.006,Gaia DR2 2125307666699191168,2125307666699191168,2.0291061000000004,1.027935,1.0011710999999999,80.63344750897572,27.131679682681302
6,6,1903746903949786112,340.863729,36.200416,0.01041,2.362,22.661,17.025,0.0008,18.052,0.013,16.024,0.002,15861.6939,-10.413,0.1,-18.303,0.142,1.768,1.5019999999999998,0.266,-0.741,8.584,0.084,1.099,1.114,0.032,0.6509999999999999,0.093,0.015,7.0,0.152,Gaia DR2 1903746903949786112,1903746903949786112,2.0280838,1.0270786,1.0010052,95.89163904939006,-19.862934571863416
7,7,1394056984538667904,232.042285,43.527209,0.00706,1.525,28.056,16.358,0.0007,17.127,0.006,15.508,0.004,16669.8088,0.8270000000000001,0.081,7.018,0.136,3.619,3.549,0.07,-0.7390000000000001,9.158,0.096,2.742,2.74,0.011,0.6609999999999999,0.075,0.014,7.0,0.161,Gaia DR2 1394056984538667904,1394056984538667904,1.6190052,0.76896477,0.85004044,70.83654169631855,54.51000031551526
8,8,4459375040618651776,249.607772,12.172373,0.00525,1.533,24.408,16.651,0.0006,17.480999999999998,0.006,15.754,0.002,12319.4187,-3.734,0.079,4.307,0.062,3.237,3.03,0.208,-0.804,9.201,0.104,2.272,2.278,0.022,0.613,0.081,0.014,7.0,0.108,Gaia DR2 4459375040618651776,4459375040618651776,1.7270651000000001,0.829916,0.8971491,28.961005812993427,34.97165356301535
9,9,1084738181524776448,118.542279,61.030767,0.005379999999999999,2.05,90.041,13.298,0.0005,13.635,0.003,12.802,0.002,9445.3025,-11.629,0.035,-12.632,0.032,5.362,5.143,0.219,-0.784,8.64,0.117,2.476,2.471,0.011,0.626,0.024,0.012,7.0,0.079,Gaia DR2 1084738181524776448,1084738181524776448,0.8329859000000001,0.33638477,0.49660109999999996,155.89984876934645,31.027578978831812
