,Gaia2,RAdeg,DEdeg,PDis,plx,e_plx,Gmag,e_Gmag,Bpmag,e_Bpmag,Rpmag,e_Rpmag,Sep,pmRA,e_pmRA,pmDE,e_pmDE,RVel,e_RVel,Age,PreAge,CoolAge,[Fe/H],DM,Av,e_Age,e_PreAge,e_CoolAge,e_[Fe/H],e_DM,e_Av,Nb,PCont
0,1997312,60.838102,-31.494884,0.006,1.854,63.497,15.416,0.0004,16.072,0.003,14.64,0.002,11655.9913,8.688,0.041,1.27,0.054,0.0,0.0,2.308,1.987,0.321,-0.787,8.699,0.047,1.603,1.589,0.025,0.641,0.033,0.013,7,0.102
1,2603520,305.261806,-31.194769,0.00234,2.037,47.785,14.649,0.0003,15.157,0.001,13.998,0.001,4134.9905,9.696,0.062,-24.442,0.044,0.0,0.0,6.495,6.299,0.196,-0.848,8.647,0.11,2.828,2.828,0.012,0.627,0.042,0.013,7,0.007
2,2234496,346.932033,31.152729,0.00457,2.078,78.697,14.555,0.0003,15.084,0.002,13.887,0.001,7916.3036,7.276,0.046,-13.278,0.037,0.0,0.0,0.721,0.481,0.24,-0.675,8.641,0.101,0.168,0.168,0.01,0.639,0.027,0.013,7,0.06
3,2019200,116.091913,2.920523,0.01316,2.788,55.498,15.917,0.0005,16.853,0.005,14.95,0.001,17000.8557,-11.354,0.085,-2.904,0.046,0.0,0.0,1.073,0.166,0.907,-0.715,7.949,0.058,0.052,0.042,0.046,0.651,0.04,0.02,7,0.165
4,702208,193.915823,22.837954,0.00533,1.887,25.741,16.706,0.0009,17.628,0.009,15.761,0.003,10170.8146,-29.893,0.154,2.705,0.092,0.0,0.0,1.58,1.532,0.048,-0.72,8.692,0.05,0.946,0.947,0.008,0.641,0.079,0.012,7,0.087
5,328576,272.849879,52.540914,0.0022,2.045,24.667,17.128,0.001,18.156,0.011,16.127,0.005,3879.7782,5.521,0.164,11.653,0.191,0.0,0.0,2.136,2.051,0.085,-0.818,8.546,0.048,1.307,1.31,0.012,0.615,0.08,0.012,7,0.006
6,2964480,340.863729,36.200416,0.01041,2.362,22.661,17.025,0.0008,18.052,0.013,16.024,0.002,15861.6939,-10.413,0.1,-18.303,0.142,0.0,0.0,1.768,1.502,0.266,-0.741,8.584,0.084,1.099,1.114,0.032,0.651,0.093,0.015,7,0.152
7,1334144,232.042285,43.527209,0.00706,1.525,28.056,16.358,0.0007,17.127,0.006,15.508,0.004,16669.8088,0.827,0.081,7.018,0.136,0.0,0.0,3.619,3.549,0.07,-0.739,9.158,0.096,2.742,2.74,0.011,0.661,0.075,0.014,7,0.161
8,5333120,249.607772,12.172373,0.00525,1.533,24.408,16.651,0.0006,17.481,0.006,15.754,0.002,12319.4187,-3.734,0.079,4.307,0.062,0.0,0.0,3.237,3.03,0.208,-0.804,9.201,0.104,2.272,2.278,0.022,0.613,0.081,0.014,7,0.108
9,1467904,118.542279,61.030767,0.00538,2.05,90.041,13.298,0.0005,13.635,0.003,12.802,0.002,9445.3025,-11.629,0.035,-12.632,0.032,0.0,0.0,5.362,5.143,0.219,-0.784,8.64,0.117,2.476,2.471,0.011,0.626,0.024,0.012,7,0.079
