,ID1,ID2,RA1deg,RA2deg,DE1deg,DE2deg,plx1,plx2,e_plx1,e_plx2,Gmag1,Gmag2,e_Gmag1,e_Gmag2,Bpmag1,Bpmag2,e_Bpmag1,e_Bpmag2,Rpmag1,Rpmag2,e_Rpmag1,e_Rpmag2,pmRA1,pmRA2,e_pmRA1,e_pmRA2,pmDE1,pmDE2,e_pmDE1,e_pmDE2,RVel1,RVel2,e_RVel1,e_RVel2,gmag1,gmag2,rmag1,rmag2,imag1,imag2,zmag1,zmag2,e_gmag1,e_gmag2,e_rmag1,e_rmag2,e_imag1,e_imag2,e_zmag1,e_zmag2,Age1,Age2,ZMass1,ZMass2,PreAge1,PreAge2,CoolAge1,CoolAge2,[Fe/H]1,[Fe/H]2,DM1,DM2,Av1,Av2,e_Age1,e_Age2,e_ZMass1,e_ZMass2,e_PreAge1,e_PreAge2,e_CoolAge1,e_CoolAge2,e_[Fe/H]1,e_[Fe/H]2,e_DM1,e_DM2,e_Av1,e_Av2,Nb1,Nb2,Sep,PDis,Type,PCont
0,1997312,140416,60.838102,60.840214,-31.494884,-31.500611,1.854,1.359,63.497,2.05,15.416,20.264,0.0004,0.0071,16.072,20.134,0.003,0.077,14.64,20.429,0.002,0.091,8.688,6.193,0.041,0.97,1.27,3.473,0.054,1.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.248,0.0,20.506,0.0,0.0,0.0,0.0,0.0,0.165,0.0,0.04,0.0,0.0,0.0,2.308,0.0,1.791,0.0,1.987,0.0,0.321,0.0,-0.787,0.0,8.699,0.0,0.047,0.0,1.603,0.0,0.458,0.0,1.589,0.0,0.025,0.0,0.641,0.0,0.033,0.0,0.013,0,7,11655.9913,0.006,1,0.102
1,2603520,1081088,305.261806,305.26196,-31.194769,-31.197106,2.037,1.62,47.785,2.118,14.649,19.909,0.0003,0.0067,15.157,19.729,0.001,0.078,13.998,19.999,0.001,0.105,9.696,9.472,0.062,1.104,-24.442,-24.146,0.044,0.866,0.0,0.0,0.0,0.0,0.0,19.737,0.0,19.951,0.0,20.148,0.0,0.0,0.0,0.006,0.0,0.035,0.0,0.019,0.0,0.0,0.0,6.495,0.0,1.105,0.0,6.299,0.0,0.196,0.0,-0.848,0.0,8.647,0.0,0.11,0.0,2.828,0.0,0.17,0.0,2.828,0.0,0.012,0.0,0.627,0.0,0.042,0.0,0.013,0,7,4134.9905,0.00234,1,0.007
2,2234496,582272,346.932033,346.936079,31.152729,31.149745,2.078,1.693,78.697,2.6,14.555,20.141,0.0003,0.0065,15.084,20.097,0.002,0.058,13.887,20.161,0.001,0.078,7.276,5.711,0.046,1.181,-13.278,-14.045,0.037,1.076,0.0,0.0,0.0,0.0,0.0,19.945,0.0,20.19,0.0,20.502,0.0,20.615,0.0,0.012,0.0,0.018,0.0,0.024,0.0,0.048,0.0,0.721,0.0,2.777,0.0,0.481,0.0,0.24,0.0,-0.675,0.0,8.641,0.0,0.101,0.0,0.168,0.0,0.257,0.0,0.168,0.0,0.01,0.0,0.639,0.0,0.027,0.0,0.013,0,7,7916.3036,0.00457,1,0.06
3,2019200,2102144,116.091913,116.080043,2.920523,2.926248,2.788,1.702,55.498,2.181,15.917,20.368,0.0005,0.0054,16.853,20.325,0.005,0.062,14.95,20.455,0.001,0.073,-11.354,-10.076,0.085,1.582,-2.904,-3.734,0.046,0.933,0.0,0.0,0.0,0.0,0.0,20.304,0.0,20.505,0.0,20.619,0.0,20.715,0.0,0.015,0.0,0.043,0.0,0.077,0.0,0.089,0.0,1.073,0.0,4.15,0.0,0.166,0.0,0.907,0.0,-0.715,0.0,7.949,0.0,0.058,0.0,0.052,0.0,0.364,0.0,0.042,0.0,0.046,0.0,0.651,0.0,0.04,0.0,0.02,0,7,17000.8557,0.01316,1,0.165
4,702208,280704,193.915823,193.918902,22.837954,22.833441,1.887,1.705,25.741,5.14,16.706,19.285,0.0009,0.0034,17.628,19.183,0.009,0.033,15.761,19.529,0.003,0.048,-29.893,-29.109,0.154,0.713,2.705,1.877,0.092,0.44,0.0,0.0,0.0,0.0,0.0,19.081,0.0,19.456,0.0,19.763,0.0,19.994,0.0,0.008,0.0,0.014,0.0,0.011,0.0,0.032,0.0,1.58,0.0,1.881,0.0,1.532,0.0,0.048,0.0,-0.72,0.0,8.692,0.0,0.05,0.0,0.946,0.0,0.333,0.0,0.947,0.0,0.008,0.0,0.641,0.0,0.079,0.0,0.012,0,7,10170.8146,0.00533,1,0.087
5,328576,328704,272.849879,272.846292,52.540914,52.541225,2.045,1.808,24.667,6.059,17.128,19.37,0.001,0.0045,18.156,19.211,0.011,0.072,16.127,19.463,0.005,0.06,5.521,5.958,0.164,0.54,11.653,11.807,0.191,0.725,0.0,0.0,0.0,0.0,0.0,19.183,0.0,19.512,0.0,19.81,0.0,19.972,0.0,0.012,0.0,0.01,0.0,0.01,0.0,0.032,0.0,2.136,0.0,1.673,0.0,2.051,0.0,0.085,0.0,-0.818,0.0,8.546,0.0,0.048,0.0,1.307,0.0,0.318,0.0,1.31,0.0,0.012,0.0,0.615,0.0,0.08,0.0,0.012,0,7,3879.7782,0.0022,1,0.006
6,2964480,1044608,340.863729,340.858247,36.200416,36.209838,2.362,1.876,22.661,2.518,17.025,20.073,0.0008,0.0058,18.052,20.097,0.013,0.049,16.024,20.345,0.002,0.093,-10.413,-10.029,0.1,0.736,-18.303,-18.313,0.142,1.177,0.0,0.0,0.0,0.0,0.0,19.924,0.0,20.156,0.0,20.373,0.0,20.49,0.0,0.019,0.0,0.024,0.0,0.016,0.0,0.049,0.0,1.768,0.0,1.937,0.0,1.502,0.0,0.266,0.0,-0.741,0.0,8.584,0.0,0.084,0.0,1.099,0.0,0.387,0.0,1.114,0.0,0.032,0.0,0.651,0.0,0.093,0.0,0.015,0,7,15861.6939,0.01041,1,0.152
7,1334144,447744,232.042285,232.04816,43.527209,43.521576,1.525,1.957,28.056,4.401,16.358,19.917,0.0007,0.0056,17.127,19.853,0.006,0.063,15.508,20.008,0.004,0.094,0.827,0.997,0.081,0.701,7.018,6.276,0.136,1.206,0.0,0.0,0.0,0.0,0.0,19.681,0.0,20.018,0.0,20.255,0.0,20.512,0.0,0.018,0.0,0.016,0.0,0.031,0.0,0.1,0.0,3.619,0.0,1.47,0.0,3.549,0.0,0.07,0.0,-0.739,0.0,9.158,0.0,0.096,0.0,2.742,0.0,0.375,0.0,2.74,0.0,0.011,0.0,0.661,0.0,0.075,0.0,0.014,0,7,16669.8088,0.00706,1,0.161
8,5333120,5577984,249.607772,249.602818,12.172373,12.17439,1.533,2.003,24.408,2.392,16.651,20.529,0.0006,0.0074,17.481,20.472,0.006,0.087,15.754,20.53,0.002,0.108,-3.734,-0.94,0.079,1.371,4.307,4.156,0.062,0.983,0.0,0.0,0.0,0.0,0.0,20.346,0.0,20.608,0.0,20.898,0.0,20.83,0.0,0.015,0.0,0.021,0.0,0.036,0.0,0.046,0.0,3.237,0.0,1.505,0.0,3.03,0.0,0.208,0.0,-0.804,0.0,9.201,0.0,0.104,0.0,2.272,0.0,0.343,0.0,2.278,0.0,0.022,0.0,0.613,0.0,0.081,0.0,0.014,0,7,12319.4187,0.00525,1,0.108
9,1467904,441472,118.542279,118.53687,61.030767,61.035465,2.05,2.062,90.041,3.177,13.298,19.982,0.0005,0.0076,13.635,19.933,0.003,0.065,12.802,19.957,0.002,0.096,-11.629,-12.26,0.035,1.009,-12.632,-11.234,0.032,0.941,0.0,0.0,0.0,0.0,0.0,19.811,0.0,20.004,0.0,20.231,0.0,20.349,0.0,0.015,0.0,0.017,0.0,0.016,0.0,0.039,0.0,5.362,0.0,1.184,0.0,5.143,0.0,0.219,0.0,-0.784,0.0,8.64,0.0,0.117,0.0,2.476,0.0,0.165,0.0,2.471,0.0,0.011,0.0,0.626,0.0,0.024,0.0,0.012,0,7,9445.3025,0.00538,1,0.079
10,1525120,1523840,232.123434,232.1248,-13.266187,-13.271308,2.556,2.064,20.899,3.268,16.821,19.755,0.0012,0.0064,17.92,19.802,0.019,0.059,15.773,19.83,0.007,0.096,21.145,22.168,0.194,1.121,-18.654,-17.996,0.128,0.709,0.0,0.0,0.0,0.0,0.0,19.683,0.0,19.817,0.0,19.987,0.0,20.184,0.0,0.012,0.0,0.022,0.0,0.012,0.0,0.018,0.0,8.043,0.0,1.013,0.0,7.705,0.0,0.339,0.0,-1.005,0.0,8.208,0.0,0.07,0.0,2.929,0.0,0.153,0.0,2.939,0.0,0.02,0.0,0.569,0.0,0.054,0.0,0.012,0,7,7451.6104,0.00529,1,0.053
11,1345792,501632,140.158744,140.157971,-18.935185,-18.937745,2.296,2.095,26.037,4.19,16.875,19.585,0.0009,0.004,17.928,19.479,0.015,0.053,15.857,19.565,0.004,0.071,-15.718,-14.821,0.14,0.785,-12.776,-12.958,0.132,0.743,0.0,0.0,0.0,0.0,0.0,19.429,0.0,19.669,0.0,19.916,0.0,20.103,0.0,0.006,0.0,0.012,0.0,0.018,0.0,0.027,0.0,5.071,0.0,1.233,0.0,4.886,0.0,0.185,0.0,-0.876,0.0,8.381,0.0,0.072,0.0,2.919,0.0,0.249,0.0,2.926,0.0,0.016,0.0,0.592,0.0,0.07,0.0,0.012,0,7,4174.6832,0.00266,1,0.007
12,2082816,726016,107.907532,107.908365,40.546465,40.550757,3.049,2.108,43.58,4.278,16.416,19.69,0.0012,0.0068,17.597,19.628,0.011,0.051,15.342,19.748,0.005,0.086,-5.396,-4.784,0.128,1.054,-19.715,-17.811,0.116,0.853,0.0,0.0,0.0,0.0,0.0,19.544,0.0,19.767,0.0,19.988,0.0,20.225,0.0,0.019,0.0,0.012,0.0,0.011,0.0,0.03,0.0,0.722,0.0,3.404,0.0,0.272,0.0,0.449,0.0,-0.692,0.0,7.792,0.0,0.073,0.0,0.069,0.0,0.257,0.0,0.071,0.0,0.03,0.0,0.666,0.0,0.049,0.0,0.014,0,7,5123.1037,0.00434,1,0.012
13,907776,1233664,229.377275,229.371178,23.103894,23.111743,2.802,2.116,45.798,3.503,16.093,19.972,0.0009,0.0077,16.991,19.818,0.006,0.049,15.154,20.027,0.002,0.105,-10.209,-12.284,0.099,1.234,-7.293,-6.386,0.102,1.008,0.0,0.0,0.0,0.0,0.0,19.792,0.0,20.078,0.0,20.359,0.0,20.595,0.0,0.015,0.0,0.017,0.0,0.011,0.0,0.079,0.0,0.511,0.0,5.23,0.0,0.094,0.0,0.417,0.0,-0.699,0.0,7.895,0.0,0.066,0.0,0.04,0.0,0.226,0.0,0.011,0.0,0.033,0.0,0.643,0.0,0.048,0.0,0.013,0,7,12391.3268,0.00965,1,0.108
14,2994816,2994688,148.427822,148.42955,39.429375,39.43033,1.958,2.121,25.984,3.333,16.383,19.814,0.0007,0.0044,17.23,19.669,0.005,0.053,15.481,19.757,0.002,0.059,-20.675,-21.4,0.087,0.726,-21.121,-21.453,0.092,0.759,0.0,0.0,0.0,0.0,0.0,19.618,0.0,19.874,0.0,20.107,0.0,20.232,0.0,0.02,0.0,0.018,0.0,0.015,0.0,0.064,0.0,4.711,0.0,1.282,0.0,4.507,0.0,0.203,0.0,-0.8,0.0,8.541,0.0,0.059,0.0,2.755,0.0,0.254,0.0,2.76,0.0,0.019,0.0,0.643,0.0,0.069,0.0,0.009,0,7,3017.8987,0.00164,1,0.003
15,2836480,2834304,78.085051,78.092148,2.313399,2.316003,1.699,2.134,44.66,3.207,11.902,20.137,0.0003,0.0065,12.194,20.161,0.001,0.046,11.459,20.118,0.001,0.081,2.919,4.083,0.065,1.185,-20.005,-19.709,0.049,0.884,-27.137,0.0,1.233,0.0,0.0,19.961,0.0,20.224,0.0,20.4,0.0,20.512,0.0,0.017,0.0,0.01,0.0,0.023,0.0,0.066,0.0,8.634,0.0,0.973,0.0,8.493,0.0,0.14,0.0,-1.007,0.0,9.114,0.0,0.092,0.0,2.542,0.0,0.122,0.0,2.539,0.0,0.014,0.0,0.649,0.0,0.046,0.0,0.013,0,7,16002.628,0.00755,1,0.154
16,1372800,300672,237.910956,237.912581,41.95069,41.951931,2.075,2.147,26.664,5.492,17.43,19.826,0.0012,0.0049,18.451,19.717,0.017,0.062,16.428,19.814,0.005,0.08,3.284,4.402,0.144,0.786,14.177,16.385,0.175,0.914,0.0,0.0,0.0,0.0,0.0,19.633,0.0,19.908,0.0,20.157,0.0,20.324,0.0,0.023,0.0,0.011,0.0,0.019,0.0,0.037,0.0,1.845,0.0,1.863,0.0,1.629,0.0,0.215,0.0,-0.794,0.0,8.475,0.0,0.065,0.0,1.216,0.0,0.377,0.0,1.222,0.0,0.023,0.0,0.622,0.0,0.079,0.0,0.011,0,7,3006.3873,0.00173,1,0.003
17,3849344,3851264,118.911432,118.91137,-0.327988,-0.335068,2.307,2.154,45.088,4.584,15.83,19.581,0.001,0.0043,16.735,19.53,0.007,0.038,14.895,19.675,0.003,0.059,5.903,6.651,0.088,0.78,-23.008,-22.427,0.056,0.459,0.0,0.0,0.0,0.0,0.0,19.457,0.0,19.693,0.0,19.933,0.0,20.154,0.0,0.012,0.0,0.02,0.0,0.032,0.0,0.026,0.0,3.931,0.0,1.334,0.0,3.721,0.0,0.21,0.0,-0.804,0.0,8.315,0.0,0.049,0.0,2.102,0.0,0.218,0.0,2.103,0.0,0.014,0.0,0.629,0.0,0.047,0.0,0.013,0,7,11047.201,0.00708,1,0.096
18,2316800,505472,70.405715,70.410609,-27.298078,-27.301311,1.996,2.16,23.845,5.329,17.283,19.694,0.001,0.0049,18.283,19.596,0.023,0.053,16.256,19.826,0.005,0.071,-8.532,-7.922,0.105,0.487,-14.564,-14.998,0.153,0.722,0.0,0.0,0.0,0.0,0.0,19.541,0.0,19.797,0.0,20.052,0.0,20.179,0.0,0.017,0.0,0.017,0.0,0.023,0.0,0.039,0.0,4.765,0.0,1.276,0.0,4.601,0.0,0.164,0.0,-0.902,0.0,8.564,0.0,0.068,0.0,2.952,0.0,0.285,0.0,2.956,0.0,0.019,0.0,0.637,0.0,0.078,0.0,0.013,0,7,9774.1018,0.00542,1,0.083
19,967552,26240,196.929844,196.933292,20.952382,20.953103,1.951,2.168,24.398,3.886,16.677,19.927,0.0008,0.0051,17.564,19.898,0.007,0.041,15.751,19.919,0.002,0.067,-1.923,-2.193,0.197,1.463,-7.254,-7.819,0.135,0.864,0.0,0.0,0.0,0.0,0.0,19.77,0.0,19.99,0.0,20.294,0.0,20.465,0.0,0.019,0.0,0.02,0.0,0.017,0.0,0.018,0.0,2.756,0.0,1.575,0.0,2.551,0.0,0.206,0.0,-0.779,0.0,8.629,0.0,0.073,0.0,1.803,0.0,0.32,0.0,1.81,0.0,0.023,0.0,0.634,0.0,0.081,0.0,0.013,0,7,6087.2906,0.0033,1,0.031
20,734976,33280,190.461059,190.461493,-14.316573,-14.318775,2.061,2.179,23.233,3.489,16.928,20.284,0.0008,0.0061,17.978,20.196,0.006,0.059,15.905,20.227,0.002,0.083,3.783,1.291,0.184,1.352,-3.632,-2.659,0.088,0.673,0.0,0.0,0.0,0.0,0.0,20.158,0.0,20.29,0.0,20.554,0.0,20.564,0.0,0.019,0.0,0.018,0.0,0.026,0.0,0.051,0.0,1.942,0.0,1.872,0.0,1.578,0.0,0.364,0.0,-0.764,0.0,8.585,0.0,0.105,0.0,1.021,0.0,0.367,0.0,1.039,0.0,0.039,0.0,0.635,0.0,0.087,0.0,0.015,0,7,3915.221,0.00224,1,0.006
21,3572608,497792,73.222363,73.22506,68.948926,68.947951,2.267,2.2,46.517,4.181,16.108,20.135,0.0006,0.0049,17.201,20.003,0.004,0.045,15.074,20.051,0.002,0.068,1.707,2.326,0.054,0.549,-14.17,-15.067,0.074,0.729,0.0,0.0,0.0,0.0,0.0,20.014,0.0,20.148,0.0,20.372,0.0,0.0,0.0,0.024,0.0,0.029,0.0,0.055,0.0,0.0,0.0,5.395,0.0,1.21,0.0,5.14,0.0,0.254,0.0,-0.851,0.0,8.726,0.0,0.09,0.0,2.833,0.0,0.244,0.0,2.827,0.0,0.021,0.0,0.609,0.0,0.043,0.0,0.02,0,7,2182.9213,0.00137,1,0.0
22,1160448,12544,195.526654,195.519075,8.476126,8.473425,2.078,2.209,71.093,4.824,14.572,19.491,0.0002,0.0036,15.111,19.29,0.001,0.034,13.894,19.511,0.001,0.078,-13.604,-14.12,0.063,1.101,-4.221,-3.874,0.043,0.677,0.0,0.0,0.0,0.0,0.0,19.321,0.0,19.614,0.0,19.89,0.0,20.073,0.0,0.012,0.0,0.019,0.0,0.019,0.0,0.032,0.0,3.077,0.0,1.459,0.0,2.954,0.0,0.123,0.0,-0.801,0.0,8.496,0.0,0.05,0.0,1.937,0.0,0.252,0.0,1.934,0.0,0.009,0.0,0.628,0.0,0.031,0.0,0.012,0,7,13806.1777,0.00797,1,0.127
23,1882880,455168,102.052792,102.047296,79.293892,79.283433,2.562,2.214,29.405,7.932,17.39,19.512,0.001,0.0037,18.65,19.444,0.017,0.044,16.269,19.549,0.003,0.048,6.67,6.866,0.126,0.443,-19.534,-19.185,0.177,0.624,0.0,0.0,0.0,0.0,0.0,19.423,0.0,19.562,0.0,19.81,0.0,19.971,0.0,0.032,0.0,0.011,0.0,0.023,0.0,0.032,0.0,4.803,0.0,1.272,0.0,4.539,0.0,0.264,0.0,-0.885,0.0,8.095,0.0,0.076,0.0,2.761,0.0,0.27,0.0,2.761,0.0,0.026,0.0,0.615,0.0,0.064,0.0,0.014,0,7,14765.809,0.01051,1,0.139
