source_id,bp_rp,bp_g,g_rp
4719932835786752,3.9291325,2.4597263,1.4694061
5474610129189376,2.4522533,1.3141823,1.1380711
5815871050683904,2.670433,1.4845047,1.1859283
7027528569434112,2.097721,1.074853,1.0228682
16426806798453632,2.668377,1.4767599,1.191617
17293535494102400,2.0083838,1.0144606,0.9939232
18493721155296640,2.7618017,1.54885,1.2129517
19693185261940096,3.4888697,2.116126,1.3727436
20284310200914560,2.5264444,1.3723774,1.154067
22087848572494208,2.7423954,1.511261,1.2311344
24594120903923584,2.1467018,1.1075859,1.0391159
27015245508396288,1.8850203,0.9423113,0.94270897
31090890298843904,0.9715357,0.43309784,0.53843784
32682433379919616,2.7641811,1.5485153,1.2156658
34947637787190656,2.7584639,1.5393391,1.2191248
39466424420836736,2.360259,1.2531404,1.1071186
42873295558373376,2.8054276,1.5511646,1.2542629
55206483126508544,2.708189,1.5083675,1.1998215
61933638863308672,2.2887487,1.2081661,1.0805826
64009276298551424,0.9018488,0.38941574,0.51243305
66027876570225152,1.4376926,0.66983414,0.7678585
67156177360191104,1.2737637,0.58407784,0.6896858
68501842153545728,3.332489,2.00029,1.3321991
69421965883495680,2.2552147,1.1807327,1.074482
70802299655353344,2.7739868,1.559433,1.2145538
71218945840546816,1.923871,0.958827,0.965044
72633433188872704,2.9026623,1.6416035,1.2610588
75004701812799104,1.2228546,0.55279255,0.67006207
75596032910157440,0.77912617,0.32591248,0.4532137
76977912867771264,0.89277935,0.37862778,0.5141516
82063944420505088,2.608159,1.4200459,1.1881132
83247220794739840,2.55159,1.3922634,1.1593266
85552175123703808,2.7626972,1.538229,1.2244682
91690164426524288,1.4635391,0.686676,0.7768631
93238895273066752,0.7096214,0.29680157,0.41281986
98074964024562432,2.5289183,1.3770514,1.1518669
98159145383540992,2.3630505,1.254427,1.1086235
99915890086770560,0.8097873,0.3397684,0.47001886
106403004395092480,3.0417233,1.7647743,1.2769489
107517191926760960,0.804698,0.33305168,0.4716463
110863555567990400,1.2049465,0.53646183,0.6684847
110925540536001408,2.5463305,1.3790798,1.1672506
115344202888681216,2.297721,1.2136984,1.0840225
117132318033338368,2.6294498,1.4475718,1.1818781
123169800805046016,1.0775938,0.4731989,0.6043949
124325494900784256,0.7298174,0.30123615,0.42858124
129633524722336896,2.5068579,1.3549671,1.1518908
131981703602215808,1.0753341,0.48288536,0.5924487
134991066928646656,2.1202793,1.0764265,1.0438528
135682968979505792,2.6066027,1.4246674,1.1819353
137481632562096128,0.9666691,0.41942883,0.54724026
138001529765331584,2.6349506,1.4507313,1.1842194
143817499599533440,2.7910461,1.5723553,1.2186909
144216313083034880,2.4052896,1.2691689,1.1361208
147971351449348480,0.9680891,0.417655,0.5504341
170548207820660864,2.139803,1.1032572,1.0365458
175820709671930880,2.1171007,1.0904503,1.0266504
179017883326328576,2.2554321,1.1845837,1.0708485
184735996626896000,2.5692835,1.405776,1.1635075
190577461388303104,1.1937037,0.53227806,0.6614256
192005963220544768,2.7708187,1.5172672,1.2535515
192316064149303168,1.9242458,0.96386147,0.96038437
194841397548482560,3.3842907,2.0146751,1.3696156
201854258801564288,2.6562328,1.411334,1.2448988
203343100624935936,2.617094,1.4415073,1.1755867
207282994384681856,1.9748716,0.99045086,0.9844208
207900438882378624,2.188055,1.1351318,1.0529232
212990215646090496,2.3162203,1.2137547,1.1024656
219685588624634752,2.4595327,1.3236694,1.1358633
229424581587834752,1.2864475,0.5810232,0.7054243
230247600399745920,0.84756565,0.35623074,0.49133492
233298951330235520,1.1402082,0.49870968,0.64149857
235840678609579904,1.272706,0.57089424,0.7018118
238906391905717632,2.0745363,1.0560617,1.0184746
239711131339660160,1.7879496,0.8756981,0.9122515
240835038381154944,2.7128792,1.5100193,1.2028599
242769594732768128,1.8173513,0.8946018,0.9227495
245286514287796608,2.5649529,1.3977222,1.1672306
246673857444755968,1.9867096,0.99744415,0.98926544
247074973030462208,2.4183846,1.2923298,1.1260548
253736604744731648,1.1029377,0.48235226,0.62058544
254797805262868992,2.3604116,1.2536945,1.1067171
261675040039311616,2.6489124,1.4608383,1.1880741
