,Gaia2,Gmag,bp_rp,bp_g,g_rp,ra,de,PDis,plx,Sep,pmRA,pmDE,Age,e_Age,PreAge,e_PreAge,CoolAge,feh,DM,Av,Nb,PCont,l,b
0,4719932835786752,18.165562,3.9291325,2.4597263,1.4694061,42.475357,3.4282230000000005,0.02122,14.082,5731.4624,30.526,-140.631,4.604,0.14300000000000002,0.456,0.109,4.148,-0.615,4.504,0.083,7,0.025,170.62834327867978,-48.16483280374502
1,5474610129189376,15.853268,2.4522533,1.3141823,1.1380711,42.778267,5.0632470000000005,0.0027,6.187,1569.6898,56.865,-50.305,2.096,0.353,1.216,0.3670000000000001,0.88,-0.667,6.315,0.084,7,0.0,169.3864237773589,-46.72978937874582
2,5815871050683904,17.106264000000003,2.670433,1.4845046999999998,1.1859283,42.005671,4.714519,0.0018,4.396,1477.5663,53.567,-14.941,4.771,2.5,4.588,2.503,0.183,-0.802,6.955,0.056,7,0.0,168.851936090506,-47.49259117765157
3,7027528569434112,13.2857485,2.097721,1.074853,1.0228681999999998,45.529501,6.370971,0.00328,11.845,1017.516,48.782,-25.314,4.149,0.924,2.891,0.931,1.258,-0.76,5.001,0.078,7,0.0,171.0977935458029,-43.944466861640585
4,16426806798453632,13.487020499999998,2.668377,1.4767598999999998,1.191617,51.58838,11.514888,0.00113,16.117,249.0458,-44.65,-35.077,0.89,0.054000000000000006,0.298,0.052000000000000005,0.5920000000000001,-0.659,3.929,0.002,7,0.0,172.28994170131259,-36.10694030155075
5,17293535494102400,13.470949,2.0083838,1.0144606,0.9939232,48.344588,12.226978,0.0075400000000000016,10.714,2534.9799,-84.663,-98.305,1.267,0.128,0.561,0.13,0.706,-0.652,4.85,0.095,7,0.0,168.7496788345357,-37.710953632874926
6,18493721155296640,14.649238,2.7618017000000004,1.54885,1.2129517,39.628223,6.634914,0.0021,16.984,447.5265,-11.220999999999998,-87.694,2.291,0.517,2.041,0.515,0.25,-0.785,4.171,0.054000000000000006,7,0.0,164.3445115345263,-47.442773393783575
7,19693185261940096,15.775928,3.4888697,2.116126,1.3727436000000002,37.815391,8.166095,0.00627,25.884,872.2394,307.353,-303.231,4.465,0.775,2.354,0.8140000000000001,2.111,-0.637,3.19,0.042,7,0.0,160.87600858819397,-47.21784245578353
8,20284310200914560,13.752005,2.5264444,1.3723774,1.154067,42.011399,7.394541999999999,0.00564,17.282,1174.2988,-37.772,-20.566,12.204,1.063,9.976,1.079,2.228,-1.398,4.327,0.099,7,0.0,166.4094583256361,-45.4064115596852
9,22087848572494208,17.425307999999998,2.7423954,1.511261,1.2311344,42.21325,10.58106,0.00115,4.617,893.1216,54.708,24.315,10.004,2.251,9.781,2.255,0.223,-1.251,6.8329999999999975,0.054000000000000006,7,0.0,163.94295193766268,-42.750036632970975
10,24594120903923584,15.963751,2.1467018,1.1075859,1.0391159,35.88471699999999,10.856848,0.00203,3.17,2308.5008,49.543,-19.907,8.298,2.792,7.8679999999999986,2.797,0.43,-1.024,7.806,0.13699999999999998,7,0.0,156.45855502845782,-45.93382189384781
11,27015245508396288,12.90626,1.8850203,0.9423113,0.94270897,39.48937700000001,14.296056,0.00295,11.777,910.7959,11.358,-89.56700000000002,9.314,2.35,8.328,2.356,0.985,-1.009,5.134,0.066,7,0.0,158.17431837516884,-41.17374049297433
12,31090890298843904,8.843328999999997,0.9715357,0.43309784,0.53843784,47.498202,15.372041,0.0035700000000000007,19.044,674.9843,-96.373,-278.904,2.039,0.465,1.094,0.463,0.945,-0.715,4.275,0.234,7,0.0,165.45316239595059,-35.814938881300506
13,32682433379919616,17.688824,2.7641811,1.5485153,1.2156658,40.736679,13.682,0.00099,5.1370000000000005,693.4751,-2.497,-69.757,2.321,0.8220000000000001,1.564,0.861,0.757,-0.769,6.7570000000000014,0.05,7,0.0,159.96611477226563,-41.03556563443652
14,34947637787190656,16.112156,2.7584639,1.5393391,1.2191248,44.173869,16.259169,0.00239,8.542,1005.7593,71.134,6.787000000000001,8.492,2.39,7.135,2.405,1.357,-0.941,5.849,0.119,7,0.0,161.61517928539578,-37.03226526434503
