designation,source_id,bp_rp,bp_g,g_rp,l,b
Gaia DR2 4883949737694099968,4883949737694099968,1.4322414,0.6563864,0.77585506,230.83809426033832,-48.263746620791146
Gaia DR2 6797061624556927488,6797061624556927488,1.1593647,0.50796986,0.65139484,11.38238690568772,-31.756883481357956
Gaia DR2 1886622800620427392,1886622800620427392,1.1974001,0.52925396,0.66814613,98.17388335582626,-26.685532395879452
Gaia DR2 3088764248187129728,3088764248187129728,1.9032574,0.9360466,0.96721077,216.39863477047643,13.102163502736548
Gaia DR2 3956523636852700928,3956523636852700928,1.8676319,0.9225025,0.9451294,315.7393763796861,85.60423566707932
Gaia DR2 2125307666699191168,2125307666699191168,2.0291061,1.027935,1.0011711,80.63344750897572,27.1316796826813
Gaia DR2 1903746903949786112,1903746903949786112,2.0280838,1.0270786,1.0010052,95.89163904939006,-19.862934571863416
Gaia DR2 1394056984538667904,1394056984538667904,1.6190052,0.76896477,0.85004044,70.83654169631855,54.51000031551526
Gaia DR2 4459375040618651776,4459375040618651776,1.7270651,0.829916,0.8971491,28.961005812993424,34.97165356301535
Gaia DR2 1084738181524776448,1084738181524776448,0.8329859,0.33638477,0.4966011,155.89984876934645,31.027578978831812
Gaia DR2 6266570212164191616,6266570212164191616,2.1476068,1.0998135,1.0477934,351.2833328074839,34.47440285486454
Gaia DR2 5681379479269968128,5681379479269968128,2.0715055,1.0532398,1.0182657,249.10535033665553,21.2331005675014
Gaia DR2 947655229302622208,947655229302622208,2.255207,1.1815815,1.0736256,177.02525319947068,20.850197202978197
Gaia DR2 1215391086668536320,1215391086668536320,1.8373461,0.8985615,0.9387846,34.20478838764037,56.80572384334503
Gaia DR2 806237177610351232,806237177610351232,1.7492409,0.8468933,0.90234756,182.8081651721558,51.305862792984286
Gaia DR2 1383967350446158464,1383967350446158464,2.0224457,1.0207272,1.0017185,66.95671494415836,50.57313632262585
Gaia DR2 3084134930573868160,3084134930573868160,1.8404217,0.9052639,0.9351578,220.70477133694538,14.091746521397576
Gaia DR2 4881150381090101760,4881150381090101760,2.026619,0.99931526,1.0273037,227.20268762008263,-39.31031921131424
Gaia DR2 3943330871709188992,3943330871709188992,1.8122969,0.8866825,0.92561436,334.8294427857913,82.79324657597076
Gaia DR2 3527133800398796544,3527133800398796544,2.0723429,1.0500355,1.0223074,299.4242641499616,48.489826464135014
Gaia DR2 496072300399330176,496072300399330176,2.1271372,1.0924244,1.0347128,141.83766417861128,15.513563143967172
Gaia DR2 3734048041772102912,3734048041772102912,1.2165575,0.5383034,0.6782541,311.13355695803045,71.17778809916122
Gaia DR2 1141249952456686336,1141249952456686336,2.3809109,1.260107,1.1208038,134.90810288007708,26.469332848586085
Gaia DR2 571554834500804736,571554834500804736,2.0585127,1.0538864,1.0046263,127.7577593243411,25.05150111159833
